Year,Topic,Proportion,Keywords
2018,Topic_1,0.174010170117049,"bill, will, australian, minister, committee, legislation, report, also, family, law"
2018,Topic_2,0.0991660092314537,"government, many, said, health, think, services, place, community, members, regional"
2018,Topic_3,0.05211148953442215,"women, work, scheme, state, important, ensure, take, days, paid, already"
2018,Topic_4,0.10141784732869936,"member, australians, per, going, party, billion, last, house, say, income"
2018,Topic_5,0.1045248247101189,"will, want, jobs, funding, also, now, electorate, south, see, year"
2018,Topic_6,0.057356765859966456,"act, person, royal, commission, schedule, veterans, service, time, home, aged"
2018,Topic_7,0.10193026368687248,"$, can, time, new, australian, cent, like, budget, money, right"
2018,Topic_8,0.11179084655343595,"labor, australia, one, know, just, business, question, businesses, economy, small"
2018,Topic_9,0.10660497952195969,"people, minister, tax, million, years, care, work, year, education, good"
2018,Topic_10,0.09108680345602234,"people, make, get, prime, support, need, us, workers, now, much"
2019,Topic_1,0.10037671029585998,"prime, also, question, funding, future, house, home, now, care, standing"
2019,Topic_2,0.08427154207487003,"member, get, per, want, cent, first, us, every, put, back"
2019,Topic_3,0.08648683944161838,"bill, $, million, need, now, tax, legislation, government's, workers, also"
2019,Topic_4,0.11324442281412021,"government, can, australian, labor, australia, time, one, country, make, economy"
2019,Topic_5,0.09222910548374001,"will, work, new, ensure, community, communities, house, state, including, like"
2019,Topic_6,0.16623274736060994,"committee, <, act, report, mr, australian, members, registrar, may, information"
2019,Topic_7,0.08938981620477882,"years, australians, place, just, parliament, see, done, say, like, world"
2019,Topic_8,0.06172021688370963,"change, commission, fund, education, australia's, trade, royal, since, investment, party"
2019,Topic_9,0.09395383398300504,"people, many, today, great, think, year, know, community, local, life"
2019,Topic_10,0.11209476545768794,"minister, support, around, just, plan, new, jobs, budget, working, good"
2020,Topic_1,0.06764717706186442,"ensure, national, australian, security, support, legislation, measures, government, parliament, information"
2020,Topic_2,0.06375677697615798,"regional, industry, cent, research, waste, energy, universities, environment, time, future"
2020,Topic_3,0.08739236930164192,"support, also, member, new, year, last, first, plan, help, course"
2020,Topic_4,0.10398681592395827,"$, australians, work, million, jobs, local, sector, home, sure, women"
2020,Topic_5,0.1348875996170128,"minister, government, time, just, said, today, think, families, every, country"
2020,Topic_6,0.10738120231860933,"will, australia, one, can, get, like, prime, businesses, labor, say"
2020,Topic_7,0.11119745151755005,"bill, will, committee, family, report, australia, commission, law, act, leave"
2020,Topic_8,0.12701669579725292,"people, government, need, now, many, know, us, years, back, want"
2020,Topic_9,0.08462892685402924,"australian, per, community, will, around, make, public, economic, billion, jobkeeper"
2020,Topic_10,0.11210498463192306,"health, house, care, question, cent, education, members, thank, south, day"
2021,Topic_1,0.0831284478454329,"member, community, health, world, future, make, look, children, take, nation"
2021,Topic_2,0.07615079180056929,"government, $, new, say, business, thank, money, local, families, policy"
2021,Topic_3,0.07299274537648393,"will, time, many, also, way, well, like, need, economy, made"
2021,Topic_4,0.07935007280212078,"know, important, national, put, much, able, ensure, great, sure, australian"
2021,Topic_5,0.2632263779380625,"minister, prime, house, question, committee, report, members, mr, national, parliament"
2021,Topic_6,0.07017814714506998,"one, per, cent, last, first, government's, scheme, continue, access, changes"
2021,Topic_7,0.08974763922576473,"people, can, year, said, now, pandemic, businesses, women, economic, every"
2021,Topic_8,0.10949467348717237,"australia, get, just, australians, australian, want, going, country, us, jobs"
2021,Topic_9,0.0843834735372276,"bill, work, care, workers, act, commission, amendment, labor, royal, response"
2021,Topic_10,0.07134763084209597,"support, will, million, years, come, australia's, sector, funding, communities, budget"
2022,Topic_1,0.11395895592842803,"minister, community, prime, thank, also, see, member, local, health, take"
2022,Topic_2,0.18098522478717663,"want, know, member, time, house, members, committee, opposition, one, mr"
2022,Topic_3,0.08115143199972816,"new, make, get, can, australian, home, back, regional, look, course"
2022,Topic_4,0.07971948200737446,"government, change, per, economy, also, communities, card, tax, business, money"
2022,Topic_5,0.07576719171481885,"parliament, australians, aged-care, aged, debate, sector, order, clear, three, small"
2022,Topic_6,0.11698955950336913,"bill, going, question, legislation, important, say, said, think, discrimination, go"
2022,Topic_7,0.0979818041484608,"australia, many, support, us, like, first, climate, now, people, just"
2022,Topic_8,0.0468143132679743,"act, data, minister, australian, page, clause, must, government, health, entity"
2022,Topic_9,0.08608439184926134,"people, work, labor, care, years, last, place, election, right, better"
2022,Topic_10,0.12054764479340829,"will, $, one, country, cent, can, australians, need, time, national"
